,d5__lactobacillus,d5__corynebacterium1,d5__gardnerella,d5__sneathia,d5__finegoldia,d5__anaerococcus,d5__peptoniphilus,d5__staphylococcus,d5__streptococcus,d5__veillonella,Other
0,0.00010574657078977582,0.39818115898241585,0.34045863798416826,0.00018127983563961567,0.002205571333615324,0.005181581968699015,0.004365822708320744,0.14168529820532963,0.00045319958909903924,0.00015106652969967973,0.10703063629222309
1,0.00014289116456299122,0.7561681352703026,0.00011907597046915933,0.00014289116456299122,0.0005001190759704692,0.0004167658966420577,0.0003453203143605621,0.21708740176232438,0.0003453203143605621,7.144558228149561e-05,0.0246606334841629
2,6.01006686199384e-05,0.031643002028397565,9.015100292990759e-05,0.0001051761700848922,0.0009916610322289836,0.006941627225602885,0.0008414093606791376,0.020268950492074226,0.8364961310194576,7.5125835774923e-05,0.10248666516414995
3,0.00018117911367177594,0.029942868186155505,0.49292797526301174,0.07614354217245838,0.0011716249350774844,0.0030921235399983095,0.001062917466874419,0.03365100071263785,0.0003744368349216703,0.26524622241548,0.09620610935971302
4,5.313990408247313e-05,0.1326106306378117,0.0013949224821649198,0.34578135586465264,0.0028828397964741673,0.28874895380813836,0.0024842905158556187,0.004822446295484437,0.07986927583595711,0.09527984801987432,0.04607229683950421
5,5.966409116673131e-05,0.2036037111064706,0.12830762805405568,0.426732496047254,0.00226723546433579,0.009203186062468305,0.0,0.017839563258852664,5.966409116673131e-05,0.12180424211688197,0.09012260970734765
6,0.00043147407233074447,0.10597264715880861,0.13129886770743443,0.3348369551005465,0.003660992128866923,0.09136790355900735,0.0018827959519887032,0.016788263905232605,0.0022227452210977746,0.07808373211997595,0.23345362307471038
7,0.013481023527391379,0.15251097863153504,0.08844238365103899,0.0065135791565466995,0.04132626775594318,0.13487156841098108,0.059321410171487454,0.011199430828488016,0.10356713525183386,0.08484826181889552,0.3039179607958588
8,1.702910273657681e-05,0.5847964170767842,0.0,0.0,0.002162696047545255,0.016092502086065084,0.00044275667115099707,0.014151184374095328,0.15350033206750335,0.0,0.22883708257411917
9,0.08725065047701648,0.06438855160450997,0.034032957502168254,3.469210754553339e-05,0.17627059843885515,0.05647875108412836,0.09432784041630529,0.019670424978317433,0.059462272333044235,0.001075455333911535,0.40700780572419776
10,0.3734272143988001,0.20060828264311306,0.08532622281476544,0.0,0.003333055578701775,0.010832430630780768,0.00045829514207149406,0.03816348637613532,0.06149487542704775,0.0,0.22635613698858428
11,0.3979108521141486,0.1427675300235461,0.03183723192450704,0.019864178113948566,0.02187332381792231,0.0387556024255207,0.008054765129958091,0.1468676418447776,0.04629217160468013,0.0045092138876514825,0.14126748911333947
12,0.27664615295715234,0.14613851087804455,0.08737106700182024,0.18809049146225187,0.03929386611192973,0.0288058709658779,0.02175608910461992,0.03995839472999913,0.029037011354771606,0.012481581000260034,0.13042096443327267
