d5__lactobacillus,d5__corynebacterium1,d5__gardnerella,d5__sneathia,d5__finegoldia,d5__anaerococcus,d5__peptoniphilus,d5__staphylococcus,d5__streptococcus,d5__veillonella,d5__prevotella,d5__ezakiella,d5__shuttleworthia,d4__prevotellaceaeother,d5__corynebacterium,d5__aerococcus,d5__porphyromonas,d5__atopobium,d5__parvimonas,d5__megasphaera,d5__gemella,d5__peptostreptococcus,d5__dialister,d5__mycoplasma,d5__fusobacterium,d5__ureaplasma,d5__campylobacter,d4__bifidobacteriaceaeother,d5__escherichiashigella,d4__familyxiother,d5__granulicatella,d5__fastidiosipila,d4__corynebacteriaceaeother,d5__prevotella6,d5__brevibacterium,d5__facklamia,d5__acinetobacter,d5__ralstonia,d5__chlamydia,d5__neisseria,d5__treponema2
0.156951341,0.606504469,0.054841112,0.026340616,0.01693148,0.02112711,0.016285998,0.014473684,0.008093347,0.008937438,0.004667329,0.003376365,0.002259186,0.000819265,0.003301887,0.000397219,0.001961271,0.003277061,0.001539225,0.002010924,0.001017875,2.48E-05,0.001911619,0.002333664,0.00183714,0.001489573,0.00071996,0.001961271,0.001588878,0.00019861,0.001142006,0.00183714,0.0025571,0.001787488,0.001340616,0.000173784,0.00295432,0.001564052,0,0.000645482,0
0.264369645,0.163921381,0.050157821,0.056921567,0.009177475,0.056629798,0.037691308,0.015702501,0.014057983,0.132649001,0.005676242,0.017161349,0.001379274,0.068778016,0.007453383,0.034375746,0.003501233,0.00501313,0.011962547,0.00212196,0.002387205,0.00106098,0.001989337,0.004403066,0.001352749,0.002466778,0.001034455,0.003766478,0.004296968,0.002307631,0.003182939,0.002015862,0.000610063,0.000636588,0.000636588,0.000981406,0.000610063,0.000663112,0,2.65E-05,0
0.198382859,0.096711361,0.027541221,0.01775684,0.029647581,0.23083892,0.011800145,0.166175938,0.026318174,0.008040406,0.007678021,0.002219605,0.079520747,0.006160536,0.005798152,0.000181192,0.033520565,0.003057619,0.002649937,0.000747418,0.001132452,2.26E-05,0.002649937,0.001970466,0.002740533,0.000362384,0.000520928,0.000770067,0.001087153,0.002717884,0.001449538,0.000973908,0.006228483,0.00047563,0.000747418,0.000317086,0.000611524,0.001426889,0,0.000158543,0
0.510403572,0.206532956,0.050788945,0.023133642,0.011313533,0.04793711,0.018443123,0.024765943,0.008593032,0.012608116,0.006435393,0.004634233,0.001200773,0.001031914,0.010000188,0.000262669,0.001913732,0.001857446,0.003320888,0.001069438,0.011670013,9.38E-05,0.002420308,0.005009475,0.001970018,0.000863056,0.000487814,0.001576015,0.001669825,0.000262669,0.000600386,0.001013152,0.001913732,0.001050676,0.000788007,0.001069438,0.001801159,0.000637911,0,0.000112572,1.88E-05
0.48249491,0.154094453,0.051348264,0.043700651,0.012315638,0.030565625,0.114639718,0.011396931,0.011297611,0.009162239,0.006455778,0.004965983,0.004245915,0.003302379,0.004047276,0.013259175,0.001440135,0.0029051,0.001241496,0.000993197,0.001812584,7.45E-05,0.001067686,0.001564285,0.001067686,0.000595918,0.000372449,0.001241496,0.001291156,9.93E-05,0.001142176,0.001564285,0.000794557,0.006505438,0.001042856,0.000297959,0.000297959,0.001440135,0,0.000273129,0
0.334656532,0.158586712,0.053125,0.031052928,0.220974099,0.012021396,0.03704955,0.023761261,0.012190315,0.018440315,0.00579955,0.006109234,0.001013514,0.003631757,0.00838964,0.00106982,0.003012387,0.003913288,0.007882883,0.001013514,0.003350225,0.000168919,0.003631757,0.005855856,0.001266892,0.001154279,0.000478604,0.001210586,0.006587838,5.63E-05,0.001323198,0.002449324,0.001097973,0.001379505,0.000731982,0.00152027,0.001154279,0.00098536,5.63E-05,0.000112613,2.82E-05
0.424927536,0.171304348,0.050086957,0.034376812,0.029072464,0.025246377,0.05626087,0.02457971,0.020231884,0.030753623,0.005623188,0.020724638,0.00026087,0.00226087,0.008,0.000144928,0.002173913,0.011275362,0.00773913,0.001304348,0.010869565,0.003275362,0.005188406,0.00657971,0.006811594,0.006927536,0.000666667,0.00342029,0.00515942,0.004289855,0.00084058,0.001304348,0.000492754,0.001188406,0.00057971,0.001652174,0.001565217,0.001101449,8.70E-05,0.000115942,8.70E-05
0.465280459,0.214549666,0.061414153,0.025536374,0.019221223,0.014036733,0.051127902,0.026667034,0.008852242,0.017925101,0.007390657,0.007528542,0.000992775,0.000882466,0.009927748,0.000330925,0.001847664,0.002151012,0.007666428,0.000937621,0.006480613,0.000110308,0.00311621,0.007749159,0.002206166,0.000744581,0.000717004,0.001213391,0.007914621,0,0.000303348,0.002068281,0.000579119,0.0013237,0.000992775,0.001654625,0.001902818,0.000910044,0,0.000137885,2.76E-05
0.311611257,0.114352392,0.044894488,0.031010818,0.30777446,0.01182683,0.032672112,0.023890987,0.01696893,0.00955244,0.006190297,0.00998754,0.00381702,0.003520361,0.007871368,0.001127307,0.002828155,0.004430117,0.003995016,0.000850424,0.002491941,0.000197773,0.004093903,0.003698357,0.001087752,0.001344857,0.000632874,0.000889979,0.003658802,0.000889979,0.001977731,0.002393054,0.001443743,0.001285525,0.000494433,0.000889979,0.000791092,0.00081087,9.89E-05,3.96E-05,3.96E-05
0.262190334,0.065778858,0.22811226,0.253961253,0.008347407,0.017609156,0.013908759,0.016770113,0.008906769,0.023955767,0.015371707,0.002108366,0.001430677,0.023321106,0.002699999,0.000182868,0.002549401,0.003485258,0.000398008,0.001570517,0.000322709,2.15E-05,0.001516732,0.000914342,0.000215139,0.00500199,0.001075697,0.011402386,0.000172111,0.000268924,0.002570915,0.000903585,0.000645418,0.00283984,0.007637447,0.000451793,0.000139841,0.002312748,0,1.08E-05,5.38E-05
0.470147939,0.20407714,0.070227193,0.024788658,0.010567101,0.020495773,0.023820007,0.025361043,0.019923389,0.018030116,0.013957379,0.016555125,0.000902607,0.003698485,0.013142832,0.000352237,0.002531701,0.002751849,0.005657802,0.002795879,0.005503698,0.000484325,0.003610426,0.004645122,0.002201479,0.001452976,0.000682459,0.001761184,0.00266379,0.000924621,0.000660444,0.002267524,0.000616414,0.001452976,0.00110074,0.002201479,0.001541036,0.000748503,0,0.000176118,0
0.336718215,0.148296154,0.053072396,0.03779937,0.11389079,0.019734501,0.019488162,0.026221432,0.035856028,0.028766936,0.024770768,0.011304229,0.019926098,0.003996168,0.007745997,0.001450664,0.017955385,0.005884768,0.004160394,0.037197208,0.003448748,0.000136855,0.002627617,0.002600246,0.001149583,0.002353907,0.000492678,0.001040099,0.001724374,0.003038183,0.001943342,0.00161489,0.002189681,0.001176954,0.000465307,0.001532777,0.000574791,0.001176954,5.47E-05,0.000246339,0
0.446204764,0.218165048,0.065107699,0.029949542,0.010959796,0.01272313,0.023628669,0.033015029,0.013075796,0.022570669,0.020753079,0.008084206,0.005479898,0.001464923,0.009169334,0.011773642,0.002821334,0.002305898,0.006727796,0.001329282,0.006673539,0,0.004150616,0.004204872,0.002061744,0.001681949,0.000840974,0.002739949,0.004014975,0.000651077,0.000813846,0.002522923,0.00135641,0.001681949,0.001003744,0.002088872,0.001763334,0.000732462,0,0.000135641,2.71E-05
0.485913502,0.185150287,0.056911335,0.028926788,0.021011966,0.013002921,0.030151701,0.033952071,0.016363579,0.019567197,0.012971513,0.014698954,0.000690976,0.000973649,0.010898583,0.00015704,0.002418418,0.002763906,0.007003989,0.000879425,0.005998932,0.000188448,0.003894595,0.006093156,0.001476177,0.001381953,0.000973649,0.001476177,0.00524514,0.001130689,0.00062816,0.00317221,0.001224913,0.001319137,0.000973649,0.003077986,0.002010113,0.000596752,0,6.28E-05,0
0.144633427,0.029933685,0.480259118,0.020815424,0.00454378,0.006293749,0.004820091,0.010929633,0.014091858,0.00531131,0.160966474,0.003469237,0.000399116,0.003806951,0.001074543,0.084643252,0.004973597,0.000890335,0.000460518,0.00076753,0.001135945,0,0.000184207,0.000583323,0,0.002241189,0.000307012,0.004206067,0.000122805,6.14E-05,0.002732408,0.001228049,9.21E-05,0.000951738,3.07E-05,0.000122805,9.21E-05,0.000859634,0,0,0
0.431940563,0.187171972,0.057017245,0.029820735,0.018948947,0.017074501,0.041442301,0.033467385,0.011587486,0.028661986,0.009440393,0.015540863,0.024401881,0.001601799,0.009269988,0.000306728,0.002556063,0.002147093,0.012439507,0.000954264,0.008826937,3.41E-05,0.004226024,0.012030536,0.001397314,0.001192829,0.000647536,0.00122691,0.006441279,0.000715698,0.000545293,0.002283416,0.00204485,0.000715698,0.001192829,0.004123782,0.001431395,0.001022425,0,0.000238566,3.41E-05
0.574833131,0.108975388,0.049705255,0.043351607,0.013418354,0.046333463,0.010482373,0.017845265,0.014289974,0.005436154,0.011055807,0.00477097,0.007454641,0.003555291,0.004289286,0.036630961,0.005757277,0.003234167,0.001284492,0.000940432,0.003188293,2.29E-05,0.000848682,0.001422116,0.001307429,0.000527559,0.000389935,0.002408423,0.001445054,2.29E-05,0.001123931,0.002201986,0.001192743,0.001238617,0.0020873,0.000550497,0.000298186,0.001238617,0,0.00043581,4.59E-05
