d5__lactobacillus,d5__corynebacterium1,d5__gardnerella,d5__sneathia,d5__staphylococcus,d5__anaerococcus,d5__streptococcus,d5__finegoldia,d5__peptoniphilus,d5__prevotella,d5__veillonella,d5__atopobium,d5__ezakiella,d4__prevotellaceaeother,d5__megasphaera,d5__fastidiosipila,d5__ralstonia,d5__corynebacterium,d5__granulicatella,d5__porphyromonas,d5__dialister,d5__shuttleworthia,d4__bifidobacteriaceaeother,d5__mycoplasma,d5__ureaplasma,d5__escherichiashigella,d5__aerococcus,d4__corynebacteriaceaeother,d5__parvimonas,d5__fusobacterium,d5__gemella,d5__prevotella6,d5__brevibacterium,d4__familyxiother,d5__campylobacter,d5__peptostreptococcus,d5__neisseria,d5__acinetobacter,d5__facklamia,d5__chlamydia,d5__treponema2
0.272434985,0.143913959,0.086041086,0.185227337,0.039350139,0.028367382,0.028595004,0.038695726,0.021424913,0.015222216,0.012291584,0.005719001,0.004523986,0.011381096,0.005775906,0.002532294,0.022961361,0.003471234,0.004836966,0.004637797,0.002105503,0.005519832,0.002105503,0.002190861,0.001564901,0.000597508,0.000682866,0.00270301,0.000995846,0.001280373,0.000739771,0.00145109,0.000967393,0.002560747,0.000341433,0.000369886,0.000256075,0.001308826,0.000569055,0.000199169,0.000113811
0.328257234,0.212182638,0.068058582,0.03770334,0.038792885,0.032635686,0.025312928,0.040085137,0.010971469,0.010692748,0.015811078,0.0049663,0.005422389,0.00423149,0.005245021,0.002356459,0.035270866,0.001292252,0.003091268,0.004434197,0.007652156,0.008792378,0.00116556,0.001773679,0.001393605,0.042188213,0.001444281,0.002229767,0.000886839,0.002103076,0.001114884,0.001089545,0.000886839,0.002685856,0.00015203,0.000760148,0.000278721,0.00174834,0.000658795,0.000126691,2.53E-05
0.117680614,0.110863923,0.097943584,0.105986709,0.048372836,0.036935626,0.023958244,0.006588517,0.022275463,0.007187473,0.011893557,0.137674339,0.005048344,0.010153732,0.002566955,0.031202761,0.00447791,0.00265252,0.003194433,0.005419127,0.003137389,0.002452868,0.002281738,0.001112347,0.028265024,0.008756168,0.047374576,0.000884173,0.017398249,0.015030946,0.005276518,0.009583298,0.010239297,0.001568695,0.000228174,0.000370782,0.001311999,0.000285217,0.000228174,0,5.70E-05
0.096687264,0.073822032,0.167651142,0.084519694,0.014345211,0.061137273,0.029806462,0.012385334,0.091134279,0.020497047,0.007757846,0.041511283,0.002885374,0.022021395,0.003783651,0.143724311,0.003130359,0.002340964,0.003375344,0.004600267,0.00264039,0.001551569,0.001878215,0.000571631,0.031140267,0.002994256,0.001306585,0.000762174,0.012140349,0.005988513,0.001197703,0.018863816,0.005035795,0.000680513,0.000190544,0.000272205,0.000326646,0.000272205,0,0,8.17E-05
0.210970165,0.099992913,0.101906314,0.03660265,0.040075119,0.099496846,0.150875204,0.012720573,0.008007937,0.039437318,0.005492169,0.046453122,0.00751187,0.018921409,0.002126001,0.013712706,0.001736234,0.017752108,0.001665367,0.00687407,0.007051237,0.001488201,0.005279569,0.003826802,0.000248033,0.0004252,0.005279569,0.000708667,0.000921267,0.000460634,0.000354333,0.006944937,0.000566934,0.001311034,0.000283467,0.0006378,0.000354333,0.001807101,0.000566934,0,0
0.102107969,0.058646101,0.338303342,0.028003428,0.177652099,0.095938303,0.02008569,0.010796915,0.007917738,0.037292202,0.003119109,0.004764353,0.002330763,0.001988003,0.000685518,0.002742074,0.053573265,0.001268209,0.004113111,0.002365039,0.001508141,0.001782348,0.003804627,0.001199657,0.000891174,0.00017138,0.000856898,0.002090831,0.000308483,0.001131105,0.000205656,0.000788346,0.00445587,0.000274207,0.000308483,0.000548415,0.000205656,0.000308483,0.000137104,0,0.000137104
0.208578668,0.081218999,0.24497734,0.095671413,0.032045106,0.015130429,0.013524605,0.015487278,0.007136995,0.108232523,0.004282197,0.004032402,0.003247333,0.003140278,0.001534454,0.004068087,0.004924526,0.005138636,0.001427399,0.002283838,0.001284659,0.002819113,0.001141919,0.00035685,0.001998358,0.000392535,0.005031581,0.01944831,0.000963494,0.00028548,0.00042822,0.000713699,0.000178425,0.001605824,0.007529529,0.001463084,7.14E-05,0.000749384,0.01341755,0,0
0.00014025,0.413021458,0.000202584,9.35E-05,0.033831482,0.26109925,0.023717879,0.061850369,0.092783345,6.23E-05,0.047529258,0,0.000124667,0.000202584,1.56E-05,1.56E-05,0,0.010269436,0,0.000296084,4.68E-05,0,0,1.56E-05,0,0,0.000358417,0.002789422,3.12E-05,7.79E-05,0.000155834,1.56E-05,0.004534759,0.002649172,0,1.56E-05,0,0.000109084,0.022720544,0,0
0.000502536,0.005961899,0.04498835,0.21813468,0.000502536,0.12554251,0.011032939,0.115309059,0.092809174,0.017463109,0.073712824,0.002398465,0.004591347,0.015807026,3.43E-05,0.01339714,0,0.016218192,0.007743616,0.001758874,0.010119238,0,0.000445429,0.001975878,0.001164969,2.28E-05,0.003209375,0.000114213,0.007834986,0.020501165,0.002421308,0.000239846,0,0.002032985,0.000331217,0.019164877,0.000137055,5.71E-05,0.000548221,0,0
0.000321182,0.411980087,0.012831219,0.000160591,0.019784808,0.02543761,0.440260157,0.014324715,0.008479203,0.004030833,0.000144532,3.21E-05,6.42E-05,0.000112414,3.21E-05,1.61E-05,0,0.003629356,0.000594187,8.03E-05,0.000256946,0,0.000321182,0.001686205,0.002858519,0,0.004480488,0.003147583,1.61E-05,1.61E-05,0.000562068,3.21E-05,0.003404529,0.001638028,0,1.61E-05,0,0.002954874,3.21E-05,0,0
