d5__lactobacillus,d5__corynebacterium1,d5__gardnerella,d5__sneathia,d5__finegoldia,d5__anaerococcus,d5__peptoniphilus,d5__staphylococcus,d5__streptococcus,d5__veillonella,Other
0.424927536,0.171304348,0.050086957,0.034376812,0.029072464,0.025246377,0.05626087,0.02457971,0.020231884,0.030753623,0.13315942
0.465280459,0.214549666,0.061414153,0.025536374,0.019221223,0.014036733,0.051127902,0.026667034,0.008852242,0.017925101,0.095389113
0.311611257,0.114352392,0.044894488,0.031010818,0.30777446,0.01182683,0.032672112,0.023890987,0.01696893,0.00955244,0.095445286
0.262190334,0.065778858,0.22811226,0.253961253,0.008347407,0.017609156,0.013908759,0.016770113,0.008906769,0.023955767,0.100459323
0.470147939,0.20407714,0.070227193,0.024788658,0.010567101,0.020495773,0.023820007,0.025361043,0.019923389,0.018030116,0.112561641
0.336718215,0.148296154,0.053072396,0.03779937,0.11389079,0.019734501,0.019488162,0.026221432,0.035856028,0.028766936,0.180156015
0.446204764,0.218165048,0.065107699,0.029949542,0.010959796,0.01272313,0.023628669,0.033015029,0.013075796,0.022570669,0.124599859
0.485913502,0.185150287,0.056911335,0.028926788,0.021011966,0.013002921,0.030151701,0.033952071,0.016363579,0.019567197,0.109048651
0.144633427,0.029933685,0.480259118,0.020815424,0.00454378,0.006293749,0.004820091,0.010929633,0.014091858,0.00531131,0.278367923
0.431940563,0.187171972,0.057017245,0.029820735,0.018948947,0.017074501,0.041442301,0.033467385,0.011587486,0.028661986,0.14286688
0.574833131,0.108975388,0.049705255,0.043351607,0.013418354,0.046333463,0.010482373,0.017845265,0.014289974,0.005436154,0.115329036
