,d5__lactobacillus,d5__corynebacterium1,d5__gardnerella,d5__sneathia,d5__finegoldia,d5__anaerococcus,d5__peptoniphilus,d5__staphylococcus,d5__streptococcus,d5__veillonella,Other,Target
12,0.365456265,0.20065249699999999,0.093318662,0.01882203,0.008687091,0.164379066,0.019459083999999998,0.019864481,0.009536495,0.007258547,0.092565781,1
2,6.01e-05,0.031643002,9.02e-05,0.000105176,0.000991661,0.006941627,0.000841409,0.02026895,0.836496131,7.509999999999998e-05,0.102486665,0
30,0.36431585299999997,0.030813742999999998,0.06265219999999999,0.098553345,0.012561784,0.046534057000000004,0.011127185,0.000783605,0.0009523810000000001,0.265473177,0.10623267,0
30,0.48249491,0.15409445300000002,0.051348264000000005,0.04370065099999999,0.012315638,0.030565625,0.114639718,0.011396931,0.011297611,0.009162239,0.07898396,1
23,0.251849542,0.205533037,0.031973695,0.05674764,0.007624933,0.006150968000000001,0.012273591,0.013265681999999999,0.17024292100000002,0.010969699,0.233368293,1
15,0.09871053800000001,0.07536683,0.171159404,0.08628835,0.012644508999999998,0.06241663,0.093041352,0.014645398,0.030430191000000002,0.007920186999999999,0.34737661200000003,0
39,0.41696023200000004,0.09340838900000001,0.08970401300000001,0.027855457,0.012820047,0.139095696,0.0072998,0.088214999,0.019538768999999997,0.008934084,0.09616851300000001,0
34,0.00188252,0.034621995,0.039505634,0.218290454,0.130248547,0.291135787,0.097345374,0.048318009,0.0022371979999999997,0.022917633,0.113496849,0
10,0.34984206,0.187938137,0.079937135,0.031579319,0.003122544,0.010148269,0.00042935,0.035753133,0.057610943,0.031579319,0.212059792,0
24,1.34e-05,0.026224853,0.42129865299999997,0.043341995,0.013835686000000002,0.015483111,0.0010714960000000001,0.001808149,0.154978436,0.27432964600000004,0.047614582999999995,0
36,0.11164625,0.078601136,0.064753012,0.08953684699999999,0.0064481040000000005,0.137914622,0.0824428,0.014403408999999999,0.035254921,0.006572759,0.372426141,0
42,0.574833131,0.108975388,0.049705255,0.043351607,0.013418353999999999,0.046333463,0.010482373,0.017845265,0.014289973999999999,0.005436154,0.115329036,1
29,0.5104035720000001,0.20653295600000002,0.050788945,0.023133642000000003,0.011313533,0.04793711,0.018443123,0.024765943,0.008593031999999999,0.012608116,0.08548002800000001,1
12,0.276646153,0.146138511,0.087371067,0.18809049100000003,0.039293866000000004,0.028805871,0.021756089,0.039958395,0.029037011,0.012481581,0.130420964,0
17,0.10606330300000001,0.060917862,0.351408125,0.02908819,0.011215153,0.099654644,0.008224445,0.18453377,0.020863745,0.003239933,0.124790828,0
37,0.095682075,0.072811613,0.030901664,0.254990653,0.42207657299999995,0.01107752,0.005700307,0.022916619,0.012392975,0.002446286,0.06900371599999999,0
26,4.3700000000000005e-05,0.644855127,1.4599999999999999e-05,1.4599999999999999e-05,0.017981803,0.09975168699999999,0.008386655,0.12217434099999999,4.3700000000000005e-05,0.002949053,0.10378485300000001,0
1,0.45474285700000006,0.21282857100000002,0.059285714,0.030142857000000002,0.0632,0.017685713999999998,0.031971428999999996,0.021171429,0.016771428999999997,0.0058,0.0864,1
9,0.08725065,0.064388552,0.034032957999999995,3.47e-05,0.176270598,0.056478750999999994,0.09432784,0.019670425,0.059462272000000004,0.001075455,0.407007806,0
13,0.331805143,0.214475976,0.068794181,0.038110849,0.04051839,0.032988422999999996,0.011090052,0.039212171000000004,0.025586518,0.015981969,0.181436328,0
25,0.012985507,0.659129298,0.012985507,0.012985507,0.006136095,0.049965344,0.001064425,0.18051389399999998,3.13e-05,0.012985507,0.051217609000000004,0
5,5.8899999999999995e-05,0.200948625,0.12663443800000002,0.421167709,0.00223767,0.009083171999999999,0.013040458999999999,0.017606926999999998,5.8899999999999995e-05,0.12021585900000001,0.08894737,0
13,0.41200804399999996,0.17596476100000003,0.052034856,0.034243034,0.14151106,0.01365508,0.027118644,0.03274921,0.012161256,0.0076989369999999994,0.09085511800000001,1
19,0.000140259,0.413047205,0.00020259599999999998,9.350000000000001e-05,0.061854224000000006,0.261115527,0.09278912800000001,0.03383359,0.023719357000000003,0.047532221,0.065672386,0
20,0.31420335,0.110712201,0.330721752,0.021629556,0.009214225999999999,0.033160603,0.025750314,0.018905965,0.009762482,0.013830182,0.112109368,1
8,1.65e-05,0.568314374,0.009394747,0.009394747,0.002101742,0.015638947,0.00043027800000000003,0.013752344,0.14917404199999998,0.009394747,0.222387483,0
39,0.48591350200000005,0.185150287,0.056911335,0.028926788,0.021011966,0.013002921,0.030151701,0.033952071,0.016363579,0.019567196999999998,0.109048651,1
31,0.268186441,0.19096316300000002,0.033443152000000004,0.037942776,0.01044753,0.099312342,0.015842657,0.14762526,0.009684695,0.041358953,0.145193031,0
27,0.320650284,0.126043069,0.014615432,1.58e-05,0.088744932,0.18397993,0.052994305,0.084812995,0.004879392,1.58e-05,0.12324807800000001,0
31,0.334656532,0.158586712,0.053125,0.031052927999999997,0.22097409899999998,0.012021396,0.03704955,0.023761261000000002,0.012190315,0.018440315,0.098141892,1
4,5.31e-05,0.132610631,0.001394922,0.34578135600000004,0.00288284,0.288748954,0.002484291,0.004822446,0.079869276,0.09527984800000001,0.046072297000000005,0
26,0.156951341,0.606504469,0.054841112000000004,0.026340616,0.01693148,0.02112711,0.016285998,0.014473683999999999,0.008093346999999999,0.008937438,0.069513406,1
32,0.068330232,0.06464558,0.119732954,0.058297764,0.007186896,0.024515705,0.131224691,0.08697238300000001,0.015650651,0.007515231,0.415927912,0
40,0.14463342699999998,0.029933685,0.480259118,0.020815424,0.00454378,0.006293749,0.0048200909999999994,0.010929633000000001,0.014091858,0.00531131,0.278367923,1
16,0.21963185699999999,0.10409827,0.10609022800000001,0.038105426,0.013242833999999998,0.103581836,0.008336715,0.041720462,0.157069608,0.0057176580000000005,0.202405105,0
14,0.38181329399999997,0.131415642,0.036247956,0.051728387,0.008804355,0.110513699,0.028205301000000002,0.01669019,0.012388825,0.061540874,0.160651477,1
22,0.140312876,0.066095066,0.041095066,0.353880866,0.041064982,0.011732852,0.061702768,0.014861613000000001,0.011702768,0.052466907,0.205084236,1
7,0.476735652,0.240804345,0.058124174,0.022691912999999998,0.011624835,0.018552767,0.035872597,0.021165418999999998,0.011654191000000001,0.008924116,0.093849993,1
9,0.41928947299999997,0.181651796,0.055822465999999994,0.031310259,0.015132203,0.017191228,0.043468314,0.023499036,0.024773671,0.010654638999999999,0.17720691600000002,1
37,0.336718215,0.148296154,0.053072395999999994,0.03779937,0.11389079,0.019734501,0.019488162,0.026221432000000003,0.035856028,0.028766936,0.180156015,1
38,0.446204764,0.218165048,0.065107699,0.029949542000000003,0.010959796,0.01272313,0.023628668999999998,0.033015029,0.013075796,0.022570668999999998,0.12459985900000001,1
15,0.464401447,0.22041843600000002,0.058266478,0.052823659,0.011074406,0.015164386,0.022620732999999997,0.021047664,0.013150857,0.007361963000000001,0.11366997,1
10,0.16300366300000002,0.201548452,0.026848152,0.13203463199999999,0.018897769,0.132700633,0.04362304400000001,0.011072261000000002,0.084665335,0.013195138,0.172410922,1
2,0.216172219,0.093996464,0.04139886,0.12085660599999999,0.011142609,0.019225911000000002,0.009626989,0.018468102,0.014510651000000001,0.107833506,0.34676808200000003,1
